City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,tulun,54.5611,100.5792,-4.77,95,74,2.73,RU,1670202569
271,jatai,-17.8814,-51.7144,69.57,91,100,4.59,BR,1670202570
272,torbay,47.6666,-52.7314,36.57,85,82,8.01,CA,1670202570
273,harper,4.375,-7.7169,78.21,86,79,7.0,LR,1670202571
274,namatanai,-3.6667,152.4333,82.54,75,98,6.62,PG,1670202572
275,kalagarh,29.5,78.75,54.84,73,0,2.35,IN,1670202572
276,kaitangata,-46.2817,169.8464,56.53,61,100,4.85,NZ,1670202573
277,port-gentil,-0.7193,8.7815,79.43,84,100,9.46,GA,1670202573
278,ilula,-7.6766,36.0366,60.19,87,100,3.44,TZ,1670202574
279,russell,32.3502,-85.1999,59.92,88,0,0.0,US,1670202575
280,la ronge,55.1001,-105.2842,4.37,86,100,17.67,CA,1670202575
281,saldanha,-33.0117,17.9442,61.03,80,0,15.5,ZA,1670202355
282,puerto madryn,-42.7692,-65.0385,66.16,46,12,16.67,AR,1670202576
283,yulara,-25.2406,130.9889,96.46,11,95,16.42,AU,1670202577
284,taldan,53.6667,124.8,-6.7,85,98,7.74,RU,1670202577
285,korla,41.7597,86.1469,21.78,36,100,1.81,CN,1670202578
286,nuuk,64.1835,-51.7216,31.87,79,98,28.99,GL,1670202346
287,lorengau,-2.0226,147.2712,82.89,73,86,5.59,PG,1670202579
288,tazovskiy,67.4667,78.7,27.77,92,100,15.32,RU,1670202580
289,arroyo,41.6096,-4.7969,41.59,85,100,3.44,ES,1670202580
290,aparecida do taboado,-20.0867,-51.0936,70.81,94,100,7.7,BR,1670202581
291,tessalit,20.1986,1.0114,74.07,17,100,10.49,ML,1670202582
292,coahuayana,18.7333,-103.6833,77.63,84,0,1.79,MX,1670202583
293,alice,27.7523,-98.0697,66.36,91,100,5.75,US,1670202583
294,deputatskiy,69.3,139.9,-15.41,98,100,3.74,RU,1670202584
295,andra,62.5147,65.8878,6.42,98,100,0.78,RU,1670202584
296,vila franca do campo,37.7167,-25.4333,57.61,79,100,3.6,PT,1670202585
297,talaya,61.3833,152.75,-23.42,98,100,0.83,RU,1670202586
298,rabat,33.9911,-6.8401,62.04,90,75,3.44,MA,1670202549
299,kaohsiung,22.6163,120.3133,73.35,85,40,8.05,TW,1670202304
300,sinnamary,5.3833,-52.95,76.21,88,100,4.25,GF,1670202587
301,ballina,-28.8667,153.5667,77.77,70,3,9.19,AU,1670202587
302,samarai,-10.6167,150.6667,83.21,69,75,12.62,PG,1670202588
303,nouadhibou,20.931,-17.0347,65.35,80,0,11.25,MR,1670202588
304,porto velho,-8.7619,-63.9039,77.05,94,20,1.14,BR,1670202379
305,necochea,-38.5473,-58.7368,58.71,91,14,6.06,AR,1670202589
